# Image Pairs Configuration
# Format: prompt	method_a	method_b	image_a_url	image_b_url	mask_url	identity_url
# Lines starting with # are comments and will be ignored
# You can use full URLs or relative paths to images in the static folder

a baker, a dog, a loaf of bread, a rolling pin, a baking tray, a flour sack, a mixing bowl - in small bakery with a brick oven	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example1_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example1_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example1_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example1_ids.png
a sailor, a dolphin, a ship wheel, a rope, an anchor, a barrel, a compass - on wooden deck of a sailing ship	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example2_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example2_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example2_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example2_ids.png
a judge, an owl, a gavel, a podium, a book, a scales, a chair - in courtroom with tall columns	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example3_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example3_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example3_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example3_ids.png
a photographer, a fox, a camera, a tripod, a lens, a light meter, a bag - on forest trail during autumn	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example4_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example4_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example4_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example4_ids.png
an athlete, a dog, a basketball, a jersey, a whistle, a towel, a water bottle - in indoor basketball court	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example5_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example5_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example5_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example5_ids.png
a guide, a duck, and five distinctly different canoes — at a lakeside dock with calm water	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example6_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example6_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example6_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example6_ids.png
a traffic officer, a pigeon, and five distinctly different traffic lights — at a municipal maintenance yard	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example7_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example7_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example7_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example7_ids.png
a dock supervisor, a seagull, and five distinctly different shipping containers — at a freight terminal with stacked containers	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example8_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example8_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example8_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example8_ids.png
a photographer, a hawk, and five distinctly different tripods — on a rocky overlook above a valley	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example9_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example9_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example9_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example9_ids.png
a musician, a canary, and five distinctly different pianos — inside a piano showroom with a wooden stage	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example10_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example10_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example10_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example10_ids.png
